epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.1728,1.58455,4.79017,0.99034,0.58021,0.94642,0.82774,0.44931,2.30729,7.67664,1.15287,0.00083764,0.00083764,0.00083764
43,42.8103,1.74908,4.76426,0.98226,0.58516,0.93334,0.83342,0.49388,2.14898,7.3984,1.13661,0.00083368,0.00083368,0.00083368
44,43.3541,1.82748,4.57669,0.9871,0.58516,0.93334,0.83342,0.49388,2.14898,7.3984,1.13661,0.00082972,0.00082972,0.00082972
45,43.9167,1.69961,4.80205,1.02365,0.60265,0.9697,0.77358,0.51472,1.95578,7.24062,1.11316,0.00082576,0.00082576,0.00082576
46,44.4643,1.67988,4.36339,0.99849,0.60265,0.9697,0.77358,0.51472,1.95578,7.24062,1.11316,0.0008218,0.0008218,0.0008218
47,45.0336,1.63462,4.50133,0.98041,0.60105,0.9697,0.74701,0.49578,1.95651,7.14735,1.12693,0.00081784,0.00081784,0.00081784
48,45.5654,1.85846,4.29691,1.00713,0.60105,0.9697,0.74701,0.49578,1.95651,7.14735,1.12693,0.00081388,0.00081388,0.00081388
49,46.1847,1.61394,4.46523,0.95893,0.59514,0.9697,0.83079,0.51288,2.10585,7.18436,1.16852,0.00080992,0.00080992,0.00080992
50,46.717,1.62461,4.26059,0.95868,0.59514,0.9697,0.83079,0.51288,2.10585,7.18436,1.16852,0.00080596,0.00080596,0.00080596
51,47.2825,1.68034,4.92966,1.00344,0.60194,0.9697,0.82944,0.46537,2.27627,7.3209,1.19395,0.000802,0.000802,0.000802
52,47.8322,1.64349,4.48842,0.97628,0.60194,0.9697,0.82944,0.46537,2.27627,7.3209,1.19395,0.00079804,0.00079804,0.00079804
53,48.4003,1.57939,4.33353,0.9927,0.60374,0.96683,0.84013,0.48038,2.21384,7.49162,1.18281,0.00079408,0.00079408,0.00079408
54,48.9377,1.72435,4.62357,0.981,0.60374,0.96683,0.84013,0.48038,2.21384,7.49162,1.18281,0.00079012,0.00079012,0.00079012
55,49.4876,1.67238,4.10437,0.95693,0.59267,0.91685,0.86507,0.56707,1.95307,7.46159,1.13132,0.00078616,0.00078616,0.00078616
56,50.0969,1.5128,4.09681,0.95028,0.59267,0.91685,0.86507,0.56707,1.95307,7.46159,1.13132,0.0007822,0.0007822,0.0007822
57,50.65,1.72722,4.08414,1.01974,0.62215,0.93135,0.92599,0.58087,1.92853,7.10945,1.0967,0.00077824,0.00077824,0.00077824
58,51.1841,1.53175,4.08108,0.96181,0.62215,0.93135,0.92599,0.58087,1.92853,7.10945,1.0967,0.00077428,0.00077428,0.00077428
59,51.7434,1.72242,4.12279,1.05751,0.65192,0.9697,0.96651,0.57136,2.1547,6.44274,1.14647,0.00077032,0.00077032,0.00077032
60,52.2663,1.6481,4.30721,0.97157,0.65192,0.9697,0.96651,0.57136,2.1547,6.44274,1.14647,0.00076636,0.00076636,0.00076636
61,52.9497,1.63489,4.09513,0.9845,0.82495,0.93439,0.97233,0.53173,2.49408,5.62174,1.21356,0.0007624,0.0007624,0.0007624
62,53.8751,1.6864,4.28785,0.97175,0.82495,0.93439,0.97233,0.53173,2.49408,5.62174,1.21356,0.00075844,0.00075844,0.00075844
63,54.6807,1.68606,4.15125,1.03928,0.87416,0.93718,0.995,0.50969,2.52817,5.12651,1.18395,0.00075448,0.00075448,0.00075448
64,55.4835,1.73459,4.03695,1.00376,0.87416,0.93718,0.995,0.50969,2.52817,5.12651,1.18395,0.00075052,0.00075052,0.00075052
65,56.3376,1.658,4.3164,0.98546,0.91401,0.95797,0.995,0.50457,2.5095,4.68774,1.17713,0.00074656,0.00074656,0.00074656
66,57.127,1.59855,3.99708,0.96963,0.91401,0.95797,0.995,0.50457,2.5095,4.68774,1.17713,0.0007426,0.0007426,0.0007426
67,57.9629,1.68441,3.92757,0.97863,0.96781,0.96505,0.995,0.54395,2.41305,4.66826,1.13853,0.00073864,0.00073864,0.00073864
