epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,49.261,1.76094,2.38956,1.04454,0.95551,0.9697,0.9925,0.56398,2.45241,2.98193,1.33129,0.00083368,0.00083368,0.00083368
44,49.9371,1.91642,2.40193,1.06712,0.95551,0.9697,0.9925,0.56398,2.45241,2.98193,1.33129,0.00082972,0.00082972,0.00082972
45,50.6143,1.81276,2.3987,1.10818,0.87173,0.92512,0.87386,0.46191,2.64139,3.33075,1.43892,0.00082576,0.00082576,0.00082576
46,51.2763,1.61982,2.30086,1.01477,0.87173,0.92512,0.87386,0.46191,2.64139,3.33075,1.43892,0.0008218,0.0008218,0.0008218
47,51.942,1.72849,2.36319,1.03802,0.95037,0.91071,0.97032,0.5044,2.68083,3.71557,1.4716,0.00081784,0.00081784,0.00081784
48,52.6017,1.86533,2.53497,1.04447,0.95037,0.91071,0.97032,0.5044,2.68083,3.71557,1.4716,0.00081388,0.00081388,0.00081388
49,53.2889,1.69563,2.48808,1.01071,0.89584,0.94147,0.971,0.55229,2.44029,3.59204,1.42444,0.00080992,0.00080992,0.00080992
50,54.0112,1.66677,2.39865,1.00826,0.89584,0.94147,0.971,0.55229,2.44029,3.59204,1.42444,0.00080596,0.00080596,0.00080596
51,54.6852,1.68295,2.40036,1.03827,0.86338,0.94469,0.86194,0.56413,1.88428,3.0096,1.24719,0.000802,0.000802,0.000802
52,55.3776,1.70283,2.31533,1.04713,0.86338,0.94469,0.86194,0.56413,1.88428,3.0096,1.24719,0.00079804,0.00079804,0.00079804
53,56.0632,1.55698,2.32176,1.02552,0.87262,0.94407,0.88444,0.59021,1.83952,2.84206,1.20733,0.00079408,0.00079408,0.00079408
54,56.7154,1.75222,2.30592,1.03946,0.87262,0.94407,0.88444,0.59021,1.83952,2.84206,1.20733,0.00079012,0.00079012,0.00079012
55,57.3954,1.70142,2.20496,0.99917,0.95271,0.96832,0.98441,0.65674,1.85712,2.76875,1.2068,0.00078616,0.00078616,0.00078616
56,58.1392,1.61986,2.21184,1.02982,0.95271,0.96832,0.98441,0.65674,1.85712,2.76875,1.2068,0.0007822,0.0007822,0.0007822
57,58.8537,1.74625,2.28488,1.07519,0.96507,0.96512,0.995,0.67091,1.71635,2.38892,1.21293,0.00077824,0.00077824,0.00077824
58,59.5208,1.59034,2.11864,1.03667,0.96507,0.96512,0.995,0.67091,1.71635,2.38892,1.21293,0.00077428,0.00077428,0.00077428
59,60.2229,1.7083,2.20468,1.10637,0.97166,0.95694,0.9925,0.65796,2.0283,2.65645,1.3117,0.00077032,0.00077032,0.00077032
60,60.9034,1.62079,2.16248,1.03102,0.97166,0.95694,0.9925,0.65796,2.0283,2.65645,1.3117,0.00076636,0.00076636,0.00076636
61,61.5705,1.6961,2.24564,1.05914,0.97027,0.9479,0.9925,0.51621,2.51168,2.9153,1.4744,0.0007624,0.0007624,0.0007624
62,62.223,1.72474,2.22901,1.02332,0.97027,0.9479,0.9925,0.51621,2.51168,2.9153,1.4744,0.00075844,0.00075844,0.00075844
63,62.9634,1.66786,2.21676,1.07872,0.96949,0.93668,0.99,0.45445,2.67474,2.97378,1.52941,0.00075448,0.00075448,0.00075448
64,63.607,1.79135,2.19647,1.05191,0.96949,0.93668,0.99,0.45445,2.67474,2.97378,1.52941,0.00075052,0.00075052,0.00075052
65,64.2888,1.7351,2.29763,1.06103,0.88659,0.99568,0.99,0.52496,2.30878,2.82324,1.38772,0.00074656,0.00074656,0.00074656
66,64.957,1.70756,2.20529,1.03426,0.88659,0.99568,0.99,0.52496,2.30878,2.82324,1.38772,0.0007426,0.0007426,0.0007426
67,65.6788,1.70453,2.19028,1.04619,0.94925,0.99088,0.99,0.56889,2.10031,2.89842,1.33058,0.00073864,0.00073864,0.00073864
68,66.4068,1.70052,2.17969,1.10723,0.94925,0.99088,0.99,0.56889,2.10031,2.89842,1.33058,0.00073468,0.00073468,0.00073468
69,67.0843,1.51624,2.1931,1.01203,0.8809,0.9697,0.98584,0.5377,2.26493,3.41256,1.40716,0.00073072,0.00073072,0.00073072
70,67.7509,1.72661,2.27199,1.06607,0.8809,0.9697,0.98584,0.5377,2.26493,3.41256,1.40716,0.00072676,0.00072676,0.00072676
71,68.4585,1.63916,2.11124,1.05827,0.95116,0.99115,0.9925,0.43134,2.81536,3.67788,1.60971,0.0007228,0.0007228,0.0007228
72,69.1272,1.63546,2.0297,0.99823,0.95116,0.99115,0.9925,0.43134,2.81536,3.67788,1.60971,0.00071884,0.00071884,0.00071884
73,69.7946,1.6455,2.18711,1.0015,0.95608,1,0.9925,0.41554,2.9314,3.51057,1.66967,0.00071488,0.00071488,0.00071488
74,70.4586,1.47976,2.03342,0.97847,0.95608,1,0.9925,0.41554,2.9314,3.51057,1.66967,0.00071092,0.00071092,0.00071092
75,71.2184,1.47347,2.1003,1.01419,0.94931,1,0.9925,0.55536,2.53884,2.8766,1.47017,0.00070696,0.00070696,0.00070696
76,71.8699,1.60278,2.05816,1.02994,0.94931,1,0.9925,0.55536,2.53884,2.8766,1.47017,0.000703,0.000703,0.000703
77,72.5518,1.51132,2.03655,1.0173,0.94292,0.9697,0.99038,0.56055,2.30477,2.80745,1.3927,0.00069904,0.00069904,0.00069904
78,73.2038,1.83152,2.23156,1.1142,0.94292,0.9697,0.99038,0.56055,2.30477,2.80745,1.3927,0.00069508,0.00069508,0.00069508
79,73.8745,1.62633,2.06766,1.0641,0.90882,0.98068,0.99038,0.55248,2.34214,2.81757,1.41916,0.00069112,0.00069112,0.00069112
80,74.5242,1.75967,2.10456,1.10819,0.90882,0.98068,0.99038,0.55248,2.34214,2.81757,1.41916,0.00068716,0.00068716,0.00068716
81,75.1979,1.64707,2.10874,1.10032,0.92761,0.97856,0.9925,0.49002,2.70872,3.07449,1.58056,0.0006832,0.0006832,0.0006832
82,75.9195,1.97232,2.26247,1.05649,0.92761,0.97856,0.9925,0.49002,2.70872,3.07449,1.58056,0.00067924,0.00067924,0.00067924
83,76.607,1.69145,2.11112,1.02987,0.97042,0.99968,0.995,0.49023,2.62035,3.23843,1.58087,0.00067528,0.00067528,0.00067528
84,77.2655,1.84329,2.20406,1.06948,0.97042,0.99968,0.995,0.49023,2.62035,3.23843,1.58087,0.00067132,0.00067132,0.00067132
85,77.9422,1.54445,1.98492,0.99826,0.96827,0.97173,0.995,0.57211,2.29333,2.75031,1.45954,0.00066736,0.00066736,0.00066736
86,78.6084,1.55733,2.20386,1.04737,0.96827,0.97173,0.995,0.57211,2.29333,2.75031,1.45954,0.0006634,0.0006634,0.0006634
87,79.2893,1.63141,2.13535,1.02382,0.88175,0.95443,0.98071,0.63227,1.97998,2.75607,1.34041,0.00065944,0.00065944,0.00065944
88,80.0222,1.64757,2.05935,1.02931,0.88175,0.95443,0.98071,0.63227,1.97998,2.75607,1.34041,0.00065548,0.00065548,0.00065548
89,80.7161,1.86464,2.10119,1.12865,0.82921,0.93858,0.85142,0.58035,1.96887,3.66471,1.31214,0.00065152,0.00065152,0.00065152
90,81.3697,1.60003,2.00791,1.03376,0.82921,0.93858,0.85142,0.58035,1.96887,3.66471,1.31214,0.00064756,0.00064756,0.00064756
91,82.0501,1.69243,2.11053,1.08921,0.83009,0.93939,0.85766,0.52044,2.14383,3.49192,1.31979,0.0006436,0.0006436,0.0006436
92,82.7117,1.67111,2.06164,1.05677,0.83009,0.93939,0.85766,0.52044,2.14383,3.49192,1.31979,0.00063964,0.00063964,0.00063964
93,83.3794,1.53176,2.03306,0.99268,0.86441,0.9697,0.92379,0.55147,2.23911,3.2822,1.32803,0.00063568,0.00063568,0.00063568
94,84.0976,1.65426,2.03109,1.05142,0.86441,0.9697,0.92379,0.55147,2.23911,3.2822,1.32803,0.00063172,0.00063172,0.00063172
95,84.7783,1.49527,1.95888,0.99455,0.92309,0.93939,0.97379,0.5413,2.11632,2.89775,1.29682,0.00062776,0.00062776,0.00062776
96,85.4345,1.5029,1.97701,0.99208,0.92309,0.93939,0.97379,0.5413,2.11632,2.89775,1.29682,0.0006238,0.0006238,0.0006238
97,86.0994,1.58384,2.03248,1.0209,0.95012,0.93939,0.9787,0.56886,2.04505,2.60736,1.26558,0.00061984,0.00061984,0.00061984
