epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6811,3.27607,13.9,1.49114,0.28377,0.49765,0.50617,0.2111,3.4883,10.7227,2.00688,0.09703,3e-05,3e-05
2,14.2787,3.47396,15.1376,1.76457,0.26511,0.4761,0.48797,0.20177,3.43824,10.8728,1.96254,0.0930697,6.97228e-05,6.97228e-05
3,14.8503,3.23093,12.753,1.56843,0.21698,0.48485,0.53754,0.39098,1.71435,8.8614,1.27264,0.0891091,0.000109129,0.000109129
4,15.5973,2.27738,8.03807,1.25031,0.42237,0.76945,0.54857,0.2648,2.74366,11.306,1.51891,0.0851482,0.000148218,0.000148218
5,16.3231,2.05949,4.99663,1.12546,0.51179,0.54545,0.59177,0.39794,2.15061,9.44776,1.37332,0.081187,0.00018699,0.00018699
6,17.071,1.94914,4.16459,1.19052,0.94582,0.5411,0.59714,0.38461,2.42646,9.53375,1.4301,0.0772254,0.000225446,0.000225446
7,17.8037,2.35609,4.86217,1.20448,0.571,0.68395,0.66263,0.22475,3.57925,10.2702,1.77912,0.0732636,0.000263585,0.000263585
8,18.504,2.61562,5.10325,1.16445,0.61147,0.61583,0.65332,0.2362,3.66291,8.83973,1.80996,0.0693014,0.000301407,0.000301407
9,19.2185,2.14126,4.31187,1.09243,0.54499,0.87081,0.64449,0.28642,3.19911,8.22845,1.5789,0.0653389,0.000338912,0.000338912
10,20.0187,1.88543,3.56981,1.02031,0.56649,0.6801,0.75648,0.37959,2.66983,7.55833,1.3876,0.0613761,0.0003761,0.0003761
11,20.7353,1.85498,3.38969,1.02019,0.59991,0.85461,0.80288,0.47597,2.40126,6.65186,1.298,0.057413,0.000412972,0.000412972
12,21.4957,1.9366,3.66215,1.14315,0.75284,0.84178,0.78025,0.44529,2.31044,6.65498,1.31237,0.0534495,0.000449527,0.000449527
13,22.1683,1.72022,3.13166,1.04512,0.76406,0.91807,0.96221,0.53055,2.42155,5.88132,1.33431,0.0494858,0.000485765,0.000485765
