epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1735,2.96095,14.7314,1.35939,0,0,0,0,2.90444,14.1014,1.1292,0.09703,3e-05,3e-05
2,10.6466,2.73046,14.4642,1.34652,0.00558,0.5,0.04483,0.02285,1.59657,13.0071,0.89383,0.0930697,6.97228e-05,6.97228e-05
3,11.106,2.35361,12.8355,1.27342,0.00185,0.33333,0.10602,0.04963,1.8259,13.3775,1.04484,0.0891091,0.000109129,0.000109129
4,11.5708,2.03038,11.049,1.13112,0.00185,0.33333,0.06668,0.02668,2.42671,14.1227,1.30156,0.0851482,0.000148218,0.000148218
5,12.0349,1.91447,8.47922,1.10085,0.00185,0.33333,0.06684,0.03958,2.54647,14.6813,1.42534,0.081187,0.00018699,0.00018699
6,12.4827,1.79018,7.3656,1.17537,0.00185,0.33333,0.07529,0.03467,2.58462,14.8278,1.46566,0.0772254,0.000225446,0.000225446
7,12.9427,2.07279,9.05283,1.15894,0.00186,0.33333,0.14321,0.06866,2.32546,14.5293,1.24832,0.0732636,0.000263585,0.000263585
8,13.4573,2.00499,6.60005,1.1269,0.06248,0.66667,0.21419,0.12729,2.09298,14.2218,1.15313,0.0693014,0.000301407,0.000301407
9,13.925,1.88903,6.73526,1.11147,0.05743,0.66667,0.21744,0.1398,1.94864,13.9068,1.09333,0.0653389,0.000338912,0.000338912
10,14.4056,1.94241,6.15257,1.12243,0.0495,0.66667,0.25658,0.14851,1.78072,14.0642,1.07048,0.0613761,0.0003761,0.0003761
11,14.8768,2.01665,5.36994,1.0905,0.04633,0.66667,0.29177,0.14629,1.77327,14.5042,1.16387,0.057413,0.000412972,0.000412972
12,15.3553,2.10214,6.84769,1.21122,0.05316,0.66667,0.26897,0.10636,1.89444,14.6454,1.21156,0.0534495,0.000449527,0.000449527
13,15.8106,1.93159,6.1533,1.22818,0.04595,0.6,0.24006,0.07922,1.93832,14.8862,1.28636,0.0494858,0.000485765,0.000485765
14,16.2531,2.01687,6.47608,1.24679,0.0411,0.66667,0.21413,0.03726,1.86145,15.0968,1.33529,0.0455217,0.000521686,0.000521686
15,16.6958,1.72512,5.52619,1.09605,0.03523,0.66667,0.26895,0.03626,1.92558,14.9293,1.35464,0.0415573,0.00055729,0.00055729
