epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.3286,1.63845,2.58573,1.10746,0.93872,0.82876,0.98312,0.56216,2.06098,5.14771,1.46419,0.00083764,0.00083764,0.00083764
43,48.3567,1.76189,2.60382,1.07144,0.79625,0.88963,0.79865,0.45689,2.143,4.48677,1.48045,0.00083368,0.00083368,0.00083368
44,49.4054,1.89022,2.6582,1.07208,0.79625,0.88963,0.79865,0.45689,2.143,4.48677,1.48045,0.00082972,0.00082972,0.00082972
45,50.4427,1.69983,2.63958,1.12569,0.75353,0.87879,0.89887,0.49854,2.25762,4.27936,1.5307,0.00082576,0.00082576,0.00082576
46,51.5504,1.75935,2.57145,1.09764,0.75353,0.87879,0.89887,0.49854,2.25762,4.27936,1.5307,0.0008218,0.0008218,0.0008218
47,52.6416,1.79951,2.59487,1.09837,0.84632,0.88733,0.93944,0.58051,2.10232,4.21743,1.46472,0.00081784,0.00081784,0.00081784
48,53.6676,1.88294,2.56178,1.08724,0.84632,0.88733,0.93944,0.58051,2.10232,4.21743,1.46472,0.00081388,0.00081388,0.00081388
49,54.8933,1.68566,2.57191,1.04615,0.83317,0.8306,0.995,0.55926,2.01836,3.86557,1.44413,0.00080992,0.00080992,0.00080992
50,55.9359,1.75771,2.55185,1.0471,0.83317,0.8306,0.995,0.55926,2.01836,3.86557,1.44413,0.00080596,0.00080596,0.00080596
51,56.9891,1.73775,2.61809,1.07809,0.75737,0.95223,0.9925,0.56459,2.07363,4.01471,1.48405,0.000802,0.000802,0.000802
52,58.0642,1.67531,2.48896,1.05425,0.75737,0.95223,0.9925,0.56459,2.07363,4.01471,1.48405,0.00079804,0.00079804,0.00079804
53,59.0396,1.51567,2.43155,1.03921,0.77358,0.9697,0.9925,0.54927,2.21767,3.91223,1.58405,0.00079408,0.00079408,0.00079408
54,60.0554,1.76962,2.51086,1.05779,0.77358,0.9697,0.9925,0.54927,2.21767,3.91223,1.58405,0.00079012,0.00079012,0.00079012
55,61.1337,1.7479,2.40392,1.02585,0.90318,0.96208,0.995,0.63516,2.22686,3.10381,1.55733,0.00078616,0.00078616,0.00078616
56,62.1583,1.60784,2.37735,1.05783,0.90318,0.96208,0.995,0.63516,2.22686,3.10381,1.55733,0.0007822,0.0007822,0.0007822
57,63.205,1.76139,2.37838,1.10784,0.93989,0.85226,0.995,0.66446,2.0259,3.0673,1.42088,0.00077824,0.00077824,0.00077824
58,64.2516,1.54555,2.17476,1.0488,0.93989,0.85226,0.995,0.66446,2.0259,3.0673,1.42088,0.00077428,0.00077428,0.00077428
59,65.3492,1.61254,2.27021,1.1034,0.95061,0.81208,0.995,0.50424,2.5165,3.63616,1.56068,0.00077032,0.00077032,0.00077032
60,66.2965,1.64181,2.30951,1.03584,0.95061,0.81208,0.995,0.50424,2.5165,3.63616,1.56068,0.00076636,0.00076636,0.00076636
61,67.3024,1.7084,2.30813,1.0677,0.73576,0.99337,0.995,0.51839,2.64215,3.86216,1.6136,0.0007624,0.0007624,0.0007624
62,68.2636,1.6698,2.20778,1.02105,0.73576,0.99337,0.995,0.51839,2.64215,3.86216,1.6136,0.00075844,0.00075844,0.00075844
63,69.3613,1.66336,2.27456,1.10845,0.82771,0.96589,0.995,0.54686,2.36621,4.77304,1.506,0.00075448,0.00075448,0.00075448
64,70.3337,1.68935,2.22381,1.0704,0.82771,0.96589,0.995,0.54686,2.36621,4.77304,1.506,0.00075052,0.00075052,0.00075052
65,71.297,1.74734,2.32204,1.09815,0.76971,1,0.995,0.55097,2.23143,4.59368,1.49174,0.00074656,0.00074656,0.00074656
66,72.3235,1.71585,2.32535,1.07293,0.76971,1,0.995,0.55097,2.23143,4.59368,1.49174,0.0007426,0.0007426,0.0007426
67,73.3454,1.69476,2.23675,1.06505,0.83061,0.98932,0.995,0.5504,2.42559,3.28302,1.62756,0.00073864,0.00073864,0.00073864
68,74.3565,1.69745,2.30013,1.17858,0.83061,0.98932,0.995,0.5504,2.42559,3.28302,1.62756,0.00073468,0.00073468,0.00073468
69,75.4415,1.63341,2.18452,1.08904,0.75663,0.95611,0.88194,0.50653,2.29049,3.22516,1.55508,0.00073072,0.00073072,0.00073072
70,76.4843,1.7873,2.26075,1.11149,0.75663,0.95611,0.88194,0.50653,2.29049,3.22516,1.55508,0.00072676,0.00072676,0.00072676
71,77.5383,1.78062,2.26574,1.14045,0.93433,0.85062,0.982,0.49404,2.29501,3.28118,1.52781,0.0007228,0.0007228,0.0007228
72,78.5,1.58069,2.12936,1.02175,0.93433,0.85062,0.982,0.49404,2.29501,3.28118,1.52781,0.00071884,0.00071884,0.00071884
73,79.4963,1.62264,2.18524,1.0303,0.9404,0.94612,0.98857,0.5593,2.17999,2.92281,1.50284,0.00071488,0.00071488,0.00071488
74,80.4592,1.48839,1.96152,1.00954,0.9404,0.94612,0.98857,0.5593,2.17999,2.92281,1.50284,0.00071092,0.00071092,0.00071092
75,81.5915,1.50481,2.18722,1.06422,0.95569,0.96812,0.98168,0.57689,2.23767,2.683,1.53553,0.00070696,0.00070696,0.00070696
76,82.5465,1.50314,2.03202,1.04437,0.95569,0.96812,0.98168,0.57689,2.23767,2.683,1.53553,0.000703,0.000703,0.000703
77,83.5153,1.58697,2.08632,1.07229,0.95403,0.9697,0.96584,0.5307,2.46888,3.08523,1.68889,0.00069904,0.00069904,0.00069904
78,84.4204,1.7856,2.21626,1.1243,0.95403,0.9697,0.96584,0.5307,2.46888,3.08523,1.68889,0.00069508,0.00069508,0.00069508
79,85.313,1.74079,2.09063,1.15915,0.973,0.9697,0.96523,0.58678,2.24036,3.00658,1.61931,0.00069112,0.00069112,0.00069112
80,86.2472,1.7681,2.22034,1.20281,0.973,0.9697,0.96523,0.58678,2.24036,3.00658,1.61931,0.00068716,0.00068716,0.00068716
81,87.2826,1.69847,2.19277,1.19935,0.96146,0.9697,0.96527,0.59268,2.27315,2.90097,1.61343,0.0006832,0.0006832,0.0006832
82,88.2736,1.79582,2.14415,1.04971,0.96146,0.9697,0.96527,0.59268,2.27315,2.90097,1.61343,0.00067924,0.00067924,0.00067924
