epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93747,3.51377,14.5477,1.65544,0.94981,0.06667,0.13179,0.0772,3.45502,16.6405,2.15866,0.09703,3e-05,3e-05
2,8.7203,3.57668,14.3841,1.80969,0.09967,0.77576,0.32032,0.19024,2.07177,16.9973,1.0737,0.0930697,6.97228e-05,6.97228e-05
3,9.73485,2.96173,13.4289,1.40479,0.23988,0.94795,0.46338,0.28856,2.21114,29.1994,1.02384,0.0891091,0.000109129,0.000109129
4,10.8681,2.71431,8.63876,1.23484,0.42999,0.7697,0.41793,0.21752,1.7082,31.4725,1.02058,0.0851482,0.000148218,0.000148218
5,11.8523,2.15815,6.97122,1.0986,0.32399,0.87879,0.33236,0.17382,2.16202,28.3866,1.44576,0.081187,0.00018699,0.00018699
6,12.848,1.90287,4.89167,1.14013,0.27958,0.87879,0.30539,0.16861,2.12124,26.2368,1.48889,0.0772254,0.000225446,0.000225446
7,13.8496,2.18325,5.90935,1.20411,0.15461,0.60303,0.14144,0.08958,2.02272,45.5173,1.41309,0.0732636,0.000263585,0.000263585
8,14.8587,2.29981,5.08397,1.11597,0.14099,0.63333,0.1994,0.14031,1.93284,85.1111,1.32003,0.0693014,0.000301407,0.000301407
9,15.893,2.08054,3.99641,1.09566,0.40512,0.83333,0.50464,0.37772,1.74896,45.588,1.29872,0.0653389,0.000338912,0.000338912
10,16.9473,2.16636,4.05666,1.07182,0.5469,0.57576,0.59132,0.36735,2.31203,29.0201,1.57529,0.0613761,0.0003761,0.0003761
11,17.8954,2.39593,3.97393,1.12049,0.36252,0.60606,0.50757,0.28006,2.57897,19.4299,1.72642,0.057413,0.000412972,0.000412972
12,18.8531,2.25059,4.11301,1.17266,0.45987,0.60606,0.60282,0.37859,1.98076,14.7125,1.23128,0.0534495,0.000449527,0.000449527
13,19.8616,2.00877,3.96059,1.17957,0.45565,0.71212,0.61601,0.37308,2.1567,15.3251,1.58884,0.0494858,0.000485765,0.000485765
14,20.9055,2.375,3.71737,1.23115,0.60911,0.9697,0.71115,0.37452,2.39114,9.20221,1.64917,0.0455217,0.000521686,0.000521686
15,21.8437,2.06245,4.45226,1.08772,0.69504,0.87695,0.84227,0.43205,2.48925,10.2496,1.62781,0.0415573,0.00055729,0.00055729
16,22.8138,1.92754,3.45242,1.06653,0.69504,0.87695,0.84227,0.43205,2.48925,10.2496,1.62781,0.0375926,0.000592578,0.000592578
17,23.8162,1.96655,3.82911,1.08695,0.53512,0.75758,0.78679,0.43754,2.14221,28.5008,1.32461,0.0336275,0.000627549,0.000627549
